candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,사회적기업,사회적협동조합,자활용사촌복지공장,생산품목매칭,매칭방식,비고
74,4111331901,기타수질분석기,5828101679,5828101679,주식회사 비에이치,Y,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
75,4111331901,기타수질분석기,4181202459,4181202459,아이들문구,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
76,4111331901,기타수질분석기,4038183209,4038183209,탑아이티 주식회사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
77,4111331901,기타수질분석기,2150235895,2150235895,모두사랑,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
78,4111331901,기타수질분석기,1238154375,1238154375,주식회사 씨케이테크피아,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
79,4111331901,기타수질분석기,6918600192,6918600192,주식회사 엘티에스바이오,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
80,4111331901,기타수질분석기,1322366711,1322366711,드림팩토리,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
81,4111331901,기타수질분석기,8218801326,8218801326,주식회사 가은메탈,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
82,4111331901,기타수질분석기,4721301373,4721301373,어진컴퍼니,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
83,4111331901,기타수질분석기,5102410281,5102410281,세진싸이언스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
84,4111331901,기타수질분석기,2903101270,2903101270,다인에스티,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
85,4111331901,기타수질분석기,8612101471,8612101471,테라물라,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
86,4111331901,기타수질분석기,6938600164,6938600164,주식회사 마한건설조명,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
87,4111331901,기타수질분석기,6091669087,6091669087,대광산업,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
88,4111331901,기타수질분석기,8891000019,8891000019,동행상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
89,4111331901,기타수질분석기,4040197932,4040197932,삼미상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
90,4111331901,기타수질분석기,4098116407,4098116407,주식회사탑원산업,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
