candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,낙찰건수,최근낙찰건수,최근낙찰일,평균낙찰금액,낙찰금액합계,부정당제재,제재횟수,현재제재여부,제재종료일,매칭방식,비고
222,4710169801,수처리용여과재,2068610605,2068610605,케이원에코텍 주식회사,N,Y,20,7,2025-12-26,480562997,9611259933.0,,,,,원천_사업자번호집계,
223,4710169801,수처리용여과재,3978101727,3978101727,디에스엔텍 주식회사,N,N,20,3,2025-11-17,267741325,5354826506.0,,,,,원천_사업자번호집계,
224,4710169801,수처리용여과재,6614200580,6614200580,미성상사,N,N,19,1,2025-06-10,37873314,719592970.0,,,,,원천_사업자번호집계,
225,4710169801,수처리용여과재,1392800447,1392800447,두물기업,Y,N,18,6,2025-12-12,72078966,1297421396.0,,,,,원천_사업자번호집계,
226,4710169801,수처리용여과재,2691101486,2691101486,조앤테크,N,N,18,3,2025-06-09,31874576,573742360.0,,,,,원천_사업자번호집계,
227,4710169801,수처리용여과재,7608100625,7608100625,대신이엔텍 주식회사,N,N,17,6,2025-11-18,265300281,4510104784.0,,,,,원천_사업자번호집계,
228,4710169801,수처리용여과재,2011525821,2011525821,주앤주,N,N,17,3,2025-07-08,165185459,2808152800.0,,,,,원천_사업자번호집계,
229,4710169801,수처리용여과재,1458102877,1458102877,주식회사 오성테크,Y,N,17,5,2025-07-30,87057216,1479972680.0,,,,,원천_사업자번호집계,
230,4710169801,수처리용여과재,6502401417,6502401417,선유통,N,N,17,4,2025-08-05,60341174,1025799960.0,,,,,원천_사업자번호집계,
231,4710169801,수처리용여과재,6101142405,6101142405,만우전기,N,N,16,5,2025-12-30,109890362,1758245793.0,,,,,원천_사업자번호집계,
232,4710169801,수처리용여과재,8272401230,8272401230,오정,N,N,16,5,2025-12-01,65482005,1047712073.0,,,,,원천_사업자번호집계,
233,4710169801,수처리용여과재,1798102185,1798102185,주식회사 디오르마,N,N,16,4,2025-10-10,58151875,930430000.0,,,,,원천_사업자번호집계,
234,4710169801,수처리용여과재,1058762466,1058762466,(주)케이에이치그룹한국역사문화원,N,N,15,9,2025-11-13,75756653,1136349792.0,,,,,원천_사업자번호집계,
235,4710169801,수처리용여과재,3210402072,3210402072,비제이컴퍼니,N,N,15,2,2025-08-13,74726853,1120902790.0,,,,,원천_사업자번호집계,
236,4710169801,수처리용여과재,1318152607,1318152607,주식회사 극동 아이.씨.엠,N,N,14,8,2025-09-01,163325132,2286551847.0,,,,,원천_사업자번호집계,
237,4710169801,수처리용여과재,5250802328,5250802328,일호컴퍼니,N,N,14,,2024-04-15,127208812,1780923370.0,,,,,원천_사업자번호집계,
238,4710169801,수처리용여과재,5253400601,5253400601,지에이치기업,N,N,14,2,2025-12-10,77951919,1091326863.43,,,,,원천_사업자번호집계,
239,4710169801,수처리용여과재,4450402330,4450402330,피와이테크,N,N,14,4,2025-08-25,53400885,747612393.8,,,,,원천_사업자번호집계,
240,4710169801,수처리용여과재,6346100764,6346100764,레브,N,N,13,11,2025-12-16,225564142,2932333840.0,,,,,원천_사업자번호집계,
241,4710169801,수처리용여과재,1141708314,1141708314,미성엔지니어링,N,N,13,6,2025-11-25,177001695,2301022040.0,,,,,원천_사업자번호집계,
242,4710169801,수처리용여과재,4198802063,4198802063,주식회사 갑천만수,N,N,13,4,2025-12-15,148742468,1933652089.0,,,,,원천_사업자번호집계,
243,4710169801,수처리용여과재,5580801504,5580801504,더블유엠,N,N,13,4,2025-06-30,48209382,626721960.0,,,,,원천_사업자번호집계,
244,4710169801,수처리용여과재,2840702041,2840702041,대원,N,N,12,3,2025-08-22,39232083,470785000.0,,,,,원천_사업자번호집계,
245,4710169801,수처리용여과재,8808700159,8808700159,주식회사 하이패스텔,N,N,11,3,2025-05-27,137705321,1514758530.0,,,,,원천_사업자번호집계,
246,4710169801,수처리용여과재,5743001846,5743001846,에이치알에스(HRS),N,N,11,10,2025-11-27,105587935,1161467280.0,,,,,원천_사업자번호집계,
247,4710169801,수처리용여과재,6108170132,6108170132,(주)대교통상,N,N,11,1,2025-02-27,76194425,838138679.1,,,,,원천_사업자번호집계,
248,4710169801,수처리용여과재,8930801386,8930801386,제이앤컴퍼니,N,N,11,3,2025-12-05,42632226,468954490.0,,,,,원천_사업자번호집계,
249,4710169801,수처리용여과재,7398102236,7398102236,주식회사 정운씨앤씨,N,N,11,,2024-12-19,39386822,433255040.0,,,,,원천_사업자번호집계,
250,4710169801,수처리용여과재,2258601811,2258601811,주식회사 원나인텍,N,N,11,1,2025-09-23,33321078,366531860.0,,,,,원천_사업자번호집계,
251,4015150501,정량펌프,6598802147,6598802147,주식회사 헤이치 인 헤이치(H in H),N,N,99,26,2025-12-31,149386164,14789230222.0,,,,,원천_사업자번호집계,
252,4015150501,정량펌프,2117400300,2117400300,에닐트 (HENNILT),N,N,56,4,2025-03-04,72588108,4064934061.0,,,,,원천_사업자번호집계,
253,4015150501,정량펌프,4098615290,4098615290,(주)서린사이언스,N,N,47,11,2025-09-10,66111555,3107243100.0,,,,,원천_사업자번호집계,
254,4015150501,정량펌프,2852501641,2852501641,유니플러스,N,N,35,13,2025-11-27,49579836,1735294250.0,,,,,원천_사업자번호집계,
255,4015150501,정량펌프,7527500263,7527500263,헤이치 인 헤이치(hand in hand),N,N,33,4,2025-07-28,74266197,2450784515.0,,,,,원천_사업자번호집계,
256,4015150501,정량펌프,1288686770,1288686770,주식회사 메디시온,N,N,32,4,2025-06-16,143859070,4603490234.1,,,,,원천_사업자번호집계,
257,4015150501,정량펌프,4020263826,4020263826,바이오필,N,N,20,5,2025-12-08,48805840,976116800.0,,,,,원천_사업자번호집계,
258,4015150501,정량펌프,2632300779,2632300779,천지하이텍,N,Y,18,5,2025-12-10,65625337,1181256060.0,,,,,원천_사업자번호집계,
259,4015150501,정량펌프,5728702483,5728702483,주식회사 케이제이에스랩,N,N,18,6,2025-12-05,52990087,953821560.0,,,,,원천_사업자번호집계,
260,4015150501,정량펌프,5688200569,5688200569,사단법인 벗나래복지회사업단,N,Y,17,17,2025-12-26,227863912,3873686500.0,,,,,원천_사업자번호집계,
261,4015150501,정량펌프,1798102185,1798102185,주식회사 디오르마,N,N,16,4,2025-10-10,58151875,930430000.0,,,,,원천_사업자번호집계,
262,4015150501,정량펌프,1058762466,1058762466,(주)케이에이치그룹한국역사문화원,N,N,15,9,2025-11-13,75756653,1136349792.0,,,,,원천_사업자번호집계,
263,4015150501,정량펌프,2791401150,2791401150,가우정인,N,N,15,1,2025-01-15,59592627,893889400.0,,,,,원천_사업자번호집계,
264,4015150501,정량펌프,8858700815,8858700815,주식회사 지에코,N,N,14,3,2025-11-17,92209095,1290927332.0,,,,,원천_사업자번호집계,
265,4015150501,정량펌프,8660501030,8660501030,서이과학교육,Y,N,14,3,2025-11-27,79218672,1109061412.0,,,,,원천_사업자번호집계,
266,4015150501,정량펌프,1401086324,1401086324,유니솔트,N,N,14,3,2025-12-26,66897598,936566369.0,,,,,원천_사업자번호집계,
267,4015150501,정량펌프,6868702439,6868702439,주식회사 인팩솔루션,N,N,12,1,2025-03-14,120532462,1446389540.0,,,,,원천_사업자번호집계,
268,4015150501,정량펌프,1521801697,1521801697,평온상사,N,N,12,2,2025-09-01,112149513,1345794157.0,,,,,원천_사업자번호집계,
269,4015150501,정량펌프,3038602497,3038602497,주식회사 대림산업기술,N,N,11,3,2025-06-28,100316336,1103479700.0,,,,,원천_사업자번호집계,
270,4015150501,정량펌프,1348646550,1348646550,주식회사청솔엠테크,N,N,10,4,2025-10-28,196369360,1963693600.0,,,,,원천_사업자번호집계,
271,4015150501,정량펌프,7262601722,7262601722,창원,N,N,10,1,2025-03-13,64380573,643805733.0,,,,,원천_사업자번호집계,
272,4015150501,정량펌프,4556600429,4556600429,승주상사,N,N,10,1,2025-04-23,55270744,552707440.0,,,,,원천_사업자번호집계,
273,4015150501,정량펌프,6870801457,6870801457,굿디자인,N,N,10,2,2025-12-04,30230318,302303175.0,,,,,원천_사업자번호집계,
274,4015150501,정량펌프,1308182281,1308182281,주식회사 상아엠에스디,N,N,9,1,2025-08-13,164641740,1481775660.0,,,,,원천_사업자번호집계,
275,4015150501,정량펌프,2988102360,2988102360,주식회사 아이수(i-su Inc.),N,Y,9,4,2025-12-16,91577572,824198150.0,,,,,원천_사업자번호집계,
276,4015150501,정량펌프,4892601333,4892601333,원테크,N,N,9,1,2025-06-10,48431704,435885340.0,,,,,원천_사업자번호집계,
277,4015150501,정량펌프,4012901334,4012901334,솔미,N,N,9,,2024-12-25,29910299,269192689.27,,,,,원천_사업자번호집계,
278,4015150501,정량펌프,3826700550,3826700550,헤븐산업,N,N,9,2,2025-08-11,23543717,211893450.0,,,,,원천_사업자번호집계,
279,4015150501,정량펌프,1131581453,1131581453,동양펌프,N,Y,8,3,2025-12-02,282732851,2261862806.0,,,,,원천_사업자번호집계,
280,4015150501,정량펌프,6555400458,6555400458,애드톡컴퍼니,N,N,8,1,2025-04-17,127659009,1021272070.0,,,,,원천_사업자번호집계,
281,4015150501,정량펌프,4848700285,4848700285,주식회사 디케이엔지니어링,N,N,8,2,2025-03-10,74582208,596657661.0,,,,,원천_사업자번호집계,
282,4015150501,정량펌프,2184100526,2184100526,씨티원 경기지점,N,N,8,2,2025-05-15,60495662,483965298.0,,,,,원천_사업자번호집계,
283,4015150501,정량펌프,6083693694,6083693694,재동상사,N,N,8,4,2025-12-31,53920667,431365337.11,,,,,원천_사업자번호집계,
284,4015150501,정량펌프,2854200988,2854200988,효명엔지니어링,N,N,8,3,2025-12-26,34403051,275224405.43,,,,,원천_사업자번호집계,
285,4015150501,정량펌프,7928103347,7928103347,주식회사 프리젠,N,N,7,,2024-07-23,116483029,815381200.0,,,,,원천_사업자번호집계,
286,4015150501,정량펌프,4874600729,4874600729,신형,N,N,7,3,2025-12-02,115352319,807466230.0,,,,,원천_사업자번호집계,
287,4015150501,정량펌프,4022170444,4022170444,미래홀딩스,N,N,7,2,2025-08-28,93828964,656802750.0,,,,,원천_사업자번호집계,
288,4015150501,정량펌프,8544300608,8544300608,아즈위,N,N,7,1,2025-09-05,63645231,445516616.0,,,,,원천_사업자번호집계,
289,4015150501,정량펌프,6413200836,6413200836,양현,N,N,7,1,2025-12-03,47502743,332519200.0,,,,,원천_사업자번호집계,
290,4015150501,정량펌프,4162052579,4162052579,로젠스,N,N,7,3,2025-11-12,43553451,304874160.0,,,,,원천_사업자번호집계,
291,4015150501,정량펌프,6990802444,6990802444,온그린,N,N,7,2,2025-12-15,29549522,206846651.3,,,,,원천_사업자번호집계,
292,4015150501,정량펌프,4188116911,4188116911,유한회사 일도엔지니어링,N,Y,6,,2024-06-17,338437767,2030626600.0,,,,,원천_사업자번호집계,
293,4015150501,정량펌프,8521602190,8521602190,휴먼,N,N,6,3,2025-07-04,165008334,990050005.0,,,,,원천_사업자번호집계,
294,4015150501,정량펌프,8821501991,8821501991,지니어스케이,N,N,6,1,2025-06-02,125725888,754355330.0,,,,,원천_사업자번호집계,
295,4015150501,정량펌프,5612601256,5612601256,엠솔루션,N,N,6,1,2025-11-04,76686032,460116190.0,,,,,원천_사업자번호집계,
296,4015150501,정량펌프,5541000898,5541000898,유아이네추럴,N,N,6,2,2025-12-17,65285768,391714607.0,,,,,원천_사업자번호집계,
297,4015150501,정량펌프,1501800090,1501800090,가빈,N,N,6,3,2025-09-22,53386127,320316760.0,,,,,원천_사업자번호집계,
298,4015150501,정량펌프,2130233834,2130233834,한가람커뮤니케이션즈,N,N,6,2,2025-03-12,48781046,292686274.0,,,,,원천_사업자번호집계,
299,4015150501,정량펌프,6352100820,6352100820,나린아토,N,N,6,3,2025-09-10,44951362,269708170.0,,,,,원천_사업자번호집계,
300,4015150501,정량펌프,8468101781,8468101781,(주)나인티에스,N,Y,6,1,2025-11-20,39841025,239046148.0,,,,,원천_사업자번호집계,
301,4010160101,송풍기,3050743164,3050743164,컴텍시스템,N,N,99,20,2025-12-16,78635848,7784949000.0,,,,,원천_사업자번호집계,
302,4010160101,송풍기,2048197877,2048197877,주식회사 그린주의,N,N,78,32,2025-12-29,101501539,7917120028.45,,,,,원천_사업자번호집계,
303,4010160101,송풍기,8278602014,8278602014,주식회사 혼정보통신,N,N,69,10,2025-11-10,51185054,3531768743.0,,,,,원천_사업자번호집계,
304,4010160101,송풍기,1228646713,1228646713,주식회사 새론아이,N,N,58,3,2025-07-07,83034402,4815995330.0,,,,,원천_사업자번호집계,
305,4010160101,송풍기,7620400047,7620400047,에스지에스,N,N,57,8,2025-12-08,47472819,2705950690.79,,,,,원천_사업자번호집계,
306,4010160101,송풍기,2117400300,2117400300,에닐트 (HENNILT),N,N,56,4,2025-03-04,72588108,4064934061.0,,,,,원천_사업자번호집계,
307,4010160101,송풍기,7394000782,7394000782,더원컴퍼니,N,N,51,2,2025-06-23,65134470,3321857976.05,,,,,원천_사업자번호집계,
308,4010160101,송풍기,7278602368,7278602368,주식회사 숨,N,N,48,6,2025-12-03,54933448,2636805503.0,,,,,원천_사업자번호집계,
309,4010160101,송풍기,4858601669,4858601669,주식회사 모아텍,N,N,47,8,2025-12-11,118021616,5547015951.0,,,,,원천_사업자번호집계,
310,4010160101,송풍기,1308685487,1308685487,바이오퍼스글로벌 주식회사,N,N,46,5,2025-07-07,86112151,3961158937.0,,,,,원천_사업자번호집계,
311,4010160101,송풍기,5295500699,5295500699,비에스에스,N,N,46,14,2025-12-10,44454312,2044898359.0,,,,,원천_사업자번호집계,
312,4010160101,송풍기,6978702327,6978702327,주식회사 크리스탈소프트,N,N,45,12,2025-12-14,49166961,2212513242.0,,,,,원천_사업자번호집계,
313,4010160101,송풍기,6122552599,6122552599,안가,N,N,42,14,2025-12-24,99386785,4174244955.0,,,,,원천_사업자번호집계,
