candidate_id,물품번호,물품명,사업자번호_정규화,업체명,물품별_AI순위,전체_AI순위,AI예측점수,규칙기반_균형형_물품별순위,규칙기반_균형형_전체순위,규칙기반_균형형점수,대표물품,제조업체,낙찰건수,최근낙찰건수,부정당제재,현재제재여부,창업기업,장애인표준사업장
258,4015150501,정량펌프,2632300779,천지하이텍,1,8,0.814433,7,149,22.542,0.0,1.0,18.0,5.0,0.0,0.0,0.0,0.0
292,4015150501,정량펌프,4188116911,유한회사 일도엔지니어링,2,15,0.716573,23,393,11.5341,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
300,4015150501,정량펌프,8468101781,(주)나인티에스,3,17,0.68597,25,411,10.8468,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
275,4015150501,정량펌프,2988102360,주식회사 아이수(i-su Inc.),4,21,0.65437,13,260,17.355,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0
279,4015150501,정량펌프,1131581453,동양펌프,5,28,0.51686,14,263,17.2844,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0
260,4015150501,정량펌프,5688200569,사단법인 벗나래복지회사업단,6,32,0.459177,4,66,26.8108,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0
270,4015150501,정량펌프,1348646550,주식회사청솔엠테크,7,55,0.320296,18,343,14.0644,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0
259,4015150501,정량펌프,5728702483,주식회사 케이제이에스랩,8,158,0.032455,2,49,27.716,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0
253,4015150501,정량펌프,4098615290,(주)서린사이언스,9,237,0.012626,3,65,26.8193,0.0,0.0,47.0,11.0,0.0,0.0,0.0,0.0
257,4015150501,정량펌프,4020263826,바이오필,10,248,0.010972,11,239,17.9614,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0
278,4015150501,정량펌프,3826700550,헤븐산업,11,253,0.010646,36,447,9.199,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
274,4015150501,정량펌프,1308182281,주식회사 상아엠에스디,12,258,0.010027,26,419,10.4664,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0
265,4015150501,정량펌프,8660501030,서이과학교육,13,267,0.009338,10,199,19.7508,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0
256,4015150501,정량펌프,1288686770,주식회사 메디시온,14,280,0.008196,8,153,22.3446,0.0,0.0,32.0,4.0,0.0,0.0,0.0,0.0
290,4015150501,정량펌프,4162052579,로젠스,15,295,0.007373,38,450,9.0099,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
268,4015150501,정량펌프,1521801697,평온상사,16,299,0.007324,20,357,13.2294,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0
282,4015150501,정량펌프,2184100526,씨티원 경기지점,17,321,0.006203,34,439,9.5375,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
281,4015150501,정량펌프,4848700285,주식회사 디케이엔지니어링,18,327,0.005907,31,435,9.7987,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
277,4015150501,정량펌프,4012901334,솔미,19,330,0.005738,49,487,6.3556,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
251,4015150501,정량펌프,6598802147,주식회사 헤이치 인 헤이치(H in H),20,338,0.005483,1,8,35.907,0.0,0.0,99.0,26.0,0.0,0.0,0.0,0.0
296,4015150501,정량펌프,5541000898,유아이네추럴,21,340,0.005428,43,476,7.6227,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
291,4015150501,정량펌프,6990802444,온그린,22,351,0.005224,42,473,7.7031,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0
262,4015150501,정량펌프,1058762466,(주)케이에이치그룹한국역사문화원,23,353,0.005212,12,246,17.8257,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0
286,4015150501,정량펌프,4874600729,신형,24,357,0.005068,28,425,10.2253,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
269,4015150501,정량펌프,3038602497,주식회사 대림산업기술,25,359,0.004948,19,356,13.2786,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0
272,4015150501,정량펌프,4556600429,승주상사,26,363,0.004828,30,432,9.8619,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
288,4015150501,정량펌프,8544300608,아즈위,27,367,0.004719,44,477,7.5009,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
287,4015150501,정량펌프,4022170444,미래홀딩스,28,388,0.004205,37,449,9.1448,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0
271,4015150501,정량펌프,7262601722,창원,29,398,0.003988,29,428,10.0522,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
266,4015150501,정량펌프,1401086324,유니솔트,30,401,0.003942,17,328,14.5398,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0
280,4015150501,정량펌프,6555400458,애드톡컴퍼니,31,402,0.003942,35,446,9.3098,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
293,4015150501,정량펌프,8521602190,휴먼,32,419,0.00368,33,437,9.6025,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
252,4015150501,정량펌프,2117400300,에닐트 (HENNILT),33,425,0.003564,5,83,25.7797,0.0,0.0,56.0,4.0,0.0,0.0,0.0,0.0
255,4015150501,정량펌프,7527500263,헤이치 인 헤이치(hand in hand),34,428,0.003518,9,167,21.754,0.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0
285,4015150501,정량펌프,7928103347,주식회사 프리젠,35,432,0.003455,50,488,6.2727,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
254,4015150501,정량펌프,2852501641,유니플러스,36,439,0.003359,6,102,24.6434,0.0,0.0,35.0,13.0,0.0,0.0,0.0,0.0
267,4015150501,정량펌프,6868702439,주식회사 인팩솔루션,37,448,0.003197,22,377,12.1597,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0
284,4015150501,정량펌프,2854200988,효명엔지니어링,38,454,0.003077,32,436,9.656,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0
294,4015150501,정량펌프,8821501991,지니어스케이,39,459,0.002894,45,479,7.2808,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
276,4015150501,정량펌프,4892601333,원테크,40,466,0.002815,39,451,8.9394,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0
283,4015150501,정량펌프,6083693694,재동상사,41,469,0.002776,24,409,10.8549,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
264,4015150501,정량펌프,8858700815,주식회사 지에코,42,477,0.002612,16,319,14.9403,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0
299,4015150501,정량펌프,6352100820,나린아토,43,481,0.002484,41,468,7.9798,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
261,4015150501,정량펌프,1798102185,주식회사 디오르마,44,483,0.002409,15,302,15.992,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
297,4015150501,정량펌프,1501800090,가빈,45,484,0.00235,40,461,8.1944,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
263,4015150501,정량펌프,2791401150,가우정인,46,485,0.002347,21,364,12.9232,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0
295,4015150501,정량펌프,5612601256,엠솔루션,47,488,0.002189,48,485,6.6639,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
273,4015150501,정량펌프,6870801457,굿디자인,48,489,0.002165,27,422,10.2685,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0
289,4015150501,정량펌프,6413200836,양현,49,494,0.002108,47,483,7.1358,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
