물품별_AI순위,전체_AI순위,candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,AI예측점수,대표물품,제조업체,공급품목등록후_경과일수,공급품목등록후_경과일수_log,업체_등록품목수,업체_동일대분류등록수,업체_동일분류공급품목수,업체_동일중분류등록수,업체_동일소분류등록수,업체_대표물품등록수,업체_제조품목등록수,품목_공급업체수,품목_대표물품업체수,품목_제조업체수,품목_제조업체비율,품목_대표물품비율,품목_평균참가업체수,품목_평균참가업체수_log,품목_경쟁강도,이전전체낙찰건수,이전동일품목낙찰건수,해당물품_과거낙찰건수,이전동일대분류낙찰건수,최근365일낙찰건수,최근낙찰일_경과일수,최근낙찰일_경과일수_log,이전낙찰금액합계_log,참가업체수_log,물품번호_prefix2,물품번호_prefix4,물품번호_prefix6,창업기업,장애인표준사업장,사회적기업,부정당제재,제재종료후_경과일수,제재종료후_경과일수_log
23,326,337,4010160101,송풍기,3532200610,3532200610,자한티씨,0.005992,0.0,0.0,1111.0,7.013915474810528,107.0,2.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,0.0,0.0,0.0,0.0,375.0,5.929589143389895,20.51315249872568,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
24,331,321,4010160101,송풍기,7958701414,7958701414,주식회사 씨티원 충남,0.005737,0.0,0.0,1114.0,7.016609683894219,409.0,19.0,6.0,6.0,1.0,3.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,32.0,0.0,0.0,0.0,6.0,138.0,4.9344739331306915,21.47605125013972,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
25,337,323,4010160101,송풍기,3091861646,3091861646,모아상사,0.005542,0.0,0.0,1114.0,7.016609683894219,368.0,15.0,5.0,5.0,1.0,6.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,29.0,0.0,0.0,0.0,6.0,163.0,5.099866427824199,21.80680664664505,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
26,339,347,4010160101,송풍기,3682700131,3682700131,경은상회,0.005478,0.0,0.0,1114.0,7.016609683894219,155.0,6.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,16.0,0.0,0.0,0.0,0.0,400.0,5.993961427306569,21.320160922288956,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
27,341,336,4010160101,송풍기,4088166210,4088166210,주식회사 엔디,0.005424,0.0,0.0,1112.0,7.014814351275545,212.0,8.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,0.0,0.0,0.0,1.0,303.0,5.717027701406222,20.66161223947856,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
28,350,324,4010160101,송풍기,7254000347,7254000347,마린아트,0.005234,0.0,0.0,750.0,6.621405651764134,94.0,6.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,28.0,0.0,0.0,0.0,2.0,283.0,5.648974238161206,21.0776668700083,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
29,352,317,4010160101,송풍기,7481801052,7481801052,제스트,0.005223,0.0,0.0,1114.0,7.016609683894219,73.0,4.0,1.0,1.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,37.0,0.0,0.0,0.0,1.0,334.0,5.814130531825066,21.1192762392261,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
30,354,325,4010160101,송풍기,5118127226,5118127226,주식회사 마크온탑,0.00519,0.0,0.0,1374.0,7.226209010100671,1602.0,66.0,16.0,16.0,2.0,2.0,49.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,27.0,0.0,0.0,0.0,4.0,184.0,5.220355825078325,21.731939902532034,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
31,361,303,4010160101,송풍기,8278602014,8278602014,주식회사 혼정보통신,0.004863,0.0,0.0,1114.0,7.016609683894219,550.0,28.0,7.0,7.0,2.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,69.0,0.0,0.0,0.0,7.0,191.0,5.2574953720277815,21.98506464302589,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
32,362,326,4010160101,송풍기,8878102928,8878102928,주식회사 제이디폼,0.00484,0.0,0.0,1116.0,7.018401799069201,505.0,15.0,4.0,4.0,2.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,27.0,0.0,0.0,0.0,1.0,292.0,5.680172609017068,21.536205245317035,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
